path,sha256,mode,kind,fold,seed,base
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_44\Zonly\models\Zonly\Zonly_CNN_fold1_seed44.mat,dd35c655623a66697f76fe49a401c00714fac68ca091afaf1bb22f99c7268ee7,Zonly,CNN,1,44,44
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_44\Zonly\models\Zonly\Zonly_TCN_fold1_seed44.mat,e4bd4f907d36631248a3e8f1b56f975cd2cede38f862ded595c02a22d82760b9,Zonly,TCN,1,44,44
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_44\Zonly\models\Zonly\Zonly_CNN_fold2_seed44.mat,eae9487ac8a47aa2c797a2f50dbf3f641eadcef505c8ac6198e1eb9d397dfb4e,Zonly,CNN,2,44,44
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_44\Zonly\models\Zonly\Zonly_TCN_fold2_seed44.mat,d8f6547ba1958bba277bd370bfc114ecfd2495f0e89267c6719715c72a67bce9,Zonly,TCN,2,44,44
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_44\Zonly\models\Zonly\Zonly_CNN_fold3_seed44.mat,80da65042e54bc531d4f4cc90fe54ff7f0dfa06b571831583168942f00c8313f,Zonly,CNN,3,44,44
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_44\Zonly\models\Zonly\Zonly_TCN_fold3_seed44.mat,c21de99dd1d5526c935cec4c58d837ebe768b1ff90ab7c1aed647adfd5f2a3d9,Zonly,TCN,3,44,44
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_44\Zonly\models\Zonly\Zonly_CNN_fold4_seed44.mat,c4828032cef24c5c552893cf9f94aa7437908dbf4854fd496451c6c47107f89c,Zonly,CNN,4,44,44
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_44\Zonly\models\Zonly\Zonly_TCN_fold4_seed44.mat,b6c74ae20e65a9574f1c093eef742255bc8851de51348360e63da69893162941,Zonly,TCN,4,44,44
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_44\Zonly\models\Zonly\Zonly_CNN_fold5_seed44.mat,4ef7b1ce24a0841abcd6262b75845bbf0635d550782c9619943ce9e263608d9d,Zonly,CNN,5,44,44
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_44\Zonly\models\Zonly\Zonly_TCN_fold5_seed44.mat,752c5382924e2dc8802efd2a2620123d8457dbca40d38cf85cffd0a05d326258,Zonly,TCN,5,44,44
