path,sha256,mode,kind,fold,seed,base
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Zonly\Zonly_CNN_fold1_seed42.mat,10ec6d1d14ca1f0e6a5ec470bc179b2b457dfd0190606ce2f4d3a54ebf35c342,Zonly,CNN,1,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Zonly\Zonly_TCN_fold1_seed42.mat,4791e0d0f9ff51cca49d07ec37bac727ca2065dc96a893e90e0d416953715881,Zonly,TCN,1,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Zonly\Zonly_CNN_fold2_seed42.mat,5cec338962b6db39b5e725cdb0e661ef7e8a2c473b9aa7ad5005a51a665a0aba,Zonly,CNN,2,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Zonly\Zonly_TCN_fold2_seed42.mat,c1056f154dff68538016d629b20e9eb5478e684cffd47359695fe862ec472563,Zonly,TCN,2,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Zonly\Zonly_CNN_fold3_seed42.mat,8313e88b4c6c71ed5082560cdcc23b9972b278a05220f30071ff80ed56be2e43,Zonly,CNN,3,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Zonly\Zonly_TCN_fold3_seed42.mat,cd4c632059872520f646af7978deb148daa691e9772dc39d2af06df7d45da5ed,Zonly,TCN,3,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Zonly\Zonly_CNN_fold4_seed42.mat,fdbf454f4162cb0c674c033caf4f913e5b38b402f571b86273c1d394a09c935a,Zonly,CNN,4,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Zonly\Zonly_TCN_fold4_seed42.mat,9bca6d63bb9446a8715063103d57804d6e9a3ab652c58710ab7ff7869b0afa7e,Zonly,TCN,4,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Zonly\Zonly_CNN_fold5_seed42.mat,78f30abc926bc011e7e0ca02331c5d32393ff9fd7687586b62d64ef562e04390,Zonly,CNN,5,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Zonly\Zonly_TCN_fold5_seed42.mat,73d5d1dc968bd6dc605663fd3d369d0278353dd6ce8c7ce23b950eab76754af6,Zonly,TCN,5,42,42
