path,sha256,mode,kind,fold,seed,base
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_43\Full3C\models\Full3C\Full3C_CNN_fold1_seed43.mat,089b5afe1b47abd895d5076b72cd76e854c4eba798a3071f4a32c730412c6cbe,Full3C,CNN,1,43,43
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_43\Full3C\models\Full3C\Full3C_TCN_fold1_seed43.mat,a4d08797920aff7db6cebf2bfe520560014481a83293218fd97f1a06146675e0,Full3C,TCN,1,43,43
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_43\Full3C\models\Full3C\Full3C_CNN_fold2_seed43.mat,a7eac96d6452fa2c5de6bda3325f634321fb310157ca4a5fae9545275e08e46d,Full3C,CNN,2,43,43
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_43\Full3C\models\Full3C\Full3C_TCN_fold2_seed43.mat,16bc723032a57c10f9f34c075754b7013cef0d3536baebcbcce13ef289ae401f,Full3C,TCN,2,43,43
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_43\Full3C\models\Full3C\Full3C_CNN_fold3_seed43.mat,b72aa07191a1f8b34e4b9b203c2623bc241c14bc00fcd48555b5b45ecab01446,Full3C,CNN,3,43,43
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_43\Full3C\models\Full3C\Full3C_TCN_fold3_seed43.mat,a1b801dfc5efd5fa0eaec9c923105d9cb1d0604466291a465149d74969f4fb3c,Full3C,TCN,3,43,43
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_43\Full3C\models\Full3C\Full3C_CNN_fold4_seed43.mat,0ff77e34a82b9a1cd6f6f1ba6420b9a51bd40512da4bd5dd2902fa38331bf529,Full3C,CNN,4,43,43
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_43\Full3C\models\Full3C\Full3C_TCN_fold4_seed43.mat,ad180a9106a00085e75c7476901337b7ec9a4881494f42f486375614443173e3,Full3C,TCN,4,43,43
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_43\Full3C\models\Full3C\Full3C_CNN_fold5_seed43.mat,9190b3333caeb9e74909f7a0e50a559d91be92273043eeb4b1fac5c8fa2f2555,Full3C,CNN,5,43,43
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\strengthening\base_43\Full3C\models\Full3C\Full3C_TCN_fold5_seed43.mat,e9e22b8687cb167c204c58df89cd7bf376f0f492f5aecd95a4fd80bdf765fe37,Full3C,TCN,5,43,43
