path,sha256,mode,kind,fold,seed,base
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Full3C\Full3C_CNN_fold1_seed42.mat,f589ff79a453be61c43ada0707dd8f8990ff7cd644f0a477298ca1e678758efe,Full3C,CNN,1,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Full3C\Full3C_TCN_fold1_seed42.mat,64611a369ac581ccda4b9076841ecb25eb1b79908e5b972e60bd6b7ee74c5435,Full3C,TCN,1,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Full3C\Full3C_CNN_fold2_seed42.mat,5b402b1bbd5ca4fb39bd76c2eff631ff5cda5554ca16b2d4922bddf1d59aa7c6,Full3C,CNN,2,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Full3C\Full3C_TCN_fold2_seed42.mat,86d894b8e951e93d6fcb121860ac91a24e1e55f05ec72cd942e28efa20c2c007,Full3C,TCN,2,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Full3C\Full3C_CNN_fold3_seed42.mat,a35a09ef4d642fcaa71952adb4e0e9723f59eec17291879d1240feb4c49fa528,Full3C,CNN,3,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Full3C\Full3C_TCN_fold3_seed42.mat,89266676986ccc2facce6a05cf27734e232ba5eab2cdea51944ea630b73dbcad,Full3C,TCN,3,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Full3C\Full3C_CNN_fold4_seed42.mat,2fe5cdf0a40ea327e8f03072c48e02ceb6b55ced57d6f38897e6769e287d7494,Full3C,CNN,4,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Full3C\Full3C_TCN_fold4_seed42.mat,f5f3be74aec5527ff60c0a9c918b5b67f8da7d82f86f440f9024acef9f3206a0,Full3C,TCN,4,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Full3C\Full3C_CNN_fold5_seed42.mat,cc3bd80f2d8f1c6ff93e2dd8d97617ad392c5030823b54e26bd3bf4252b7e7c3,Full3C,CNN,5,42,42
C:\Users\catur\.codex\visualizations\2026\09\11\01a08fc7-0cf1-7772-a384-020417c19593\sync_repo\source_verified_v2\results\submission40\models\Full3C\Full3C_TCN_fold5_seed42.mat,9f74024df0a571aa8ec13831a79d7e1dcf2a3e6519cf150409d8064dab9daad7,Full3C,TCN,5,42,42
